Index,Site ID,Site Name,Country,Architecture Type,Construction Period,Civilization,UNESCO Criteria,Major Stone,Secondary Stone,Local Stone Name,Lithology,Geological Age,Formation,Colour,Texture,Minerals,Quarry,Quarry Country,Local vs Imported,Transport Distance,Structural Use,Decorative Use,Masonry Technique,Weathering,Replacement Stone,Restoration,Condition,GHSR,Heritage Stone Candidate,Geoheritage Value,UNESCO Mention,Wikipedia Mention,Research Papers,Confidence Score
383,881,Temple of Heaven: an Imperial Sacrificial Altar in Beijing,China,,,,(i)(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
384,971,Churches of Chiloé,Chile,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
385,931,City of Graz – Historic Centre and Schloss Eggenberg,Austria,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
386,1442,Silk Roads: the Routes Network of Chang'an-Tianshan Corridor,"China,Kazakhstan,Kyrgyzstan",,,,(ii)(iii)(v)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
387,848,Choirokoitia,Cyprus,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
388,1006,Neolithic Flint Mines at Spiennes (Mons),Belgium,,,,(i)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
389,1226,Stone Circles of Senegambia,"Gambia,Senegal",,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
390,856,"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",Belgium,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
391,149,Archaeological Park and Ruins of Quirigua,Guatemala,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
392,708,Historical Monuments of Mtskheta,Georgia,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
393,600,"Paris, Banks of the Seine",France,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
394,309,Historic Centre of Salvador de Bahia,Brazil,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
395,162,Amiens Cathedral,France,,,,(i)(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
396,1337,Episcopal City of Albi,France,,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
397,532,Palaces and Parks of Potsdam and Berlin,Germany,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1488,Diyarbakır Fortress and Hevsel Gardens Cultural Landscape,Türkiye,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
399,131,City of Valletta,Malta,,,,(i)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
400,88,Nubian Monuments from Abu Simbel to Philae,Egypt,,,,(i)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
401,1022,Tombs of Buganda Kings at Kasubi,Uganda,,,,(i)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
402,865,L'viv – the Ensemble of the Historic Centre,Ukraine,,,,(ii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
403,1330,Residence of Bukovinian and Dalmatian Metropolitans,Ukraine,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
404,1550,Asmara: A Modernist African City,Eritrea,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
405,2,City of Quito,Ecuador,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
406,1093,Um er-Rasas (Kastrom Mefa'a),Jordan,,,,(i)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
407,1734,Forest Research Institute Malaysia Forest Park Selangor,Malaysia,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
408,1283,Fortifications of Vauban,France,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
409,1658,Old town of Kuldīga,Latvia,,,,(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
410,230,Abbey Church of Saint-Savin sur Gartempe,France,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
411,1725,Megaliths of Carnac and of the shores of Morbihan,France,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
412,481,Vat Phou and Associated Ancient Settlements within the Champasak Cultural Landscape,Lao People's Democratic Republic,,,,(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
413,194,Timgad,Algeria,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
414,1018,Ephesus,Türkiye,,,,(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
415,191,Djémila,Algeria,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
416,569,Historic Centres of Berat and Gjirokastra,Albania,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
417,1321,"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement","Argentina,Belgium,France,Germany,India,Japan,Switzerland",,,,(i)(ii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
418,121,Kathmandu Valley,Nepal,,,,(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
419,1621,Deer Stone Monuments and Related Bronze Age Sites,Mongolia,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
420,1457,Pergamon and its Multi-Layered Cultural Landscape,Türkiye,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
421,988,Catalan Romanesque Churches of the Vall de Boí,Spain,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
422,420,City of Potosí,Bolivia (Plurinational State of),,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
423,1009,Notre-Dame Cathedral in Tournai,Belgium,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
424,1560,Caliphate City of Medina Azahara,Spain,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
425,1528,Talayotic Menorca,Spain,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
426,1433,"Birthplace of Jesus: Church of the Nativity and the Pilgrimage Route, Bethlehem",State of Palestine,,,,(i)(v)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
427,981,Bolgar Historical and Archaeological Complex,Russian Federation,,,,(ii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
428,1192,Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,Bahrain,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
429,604,Historic Monuments of Novgorod and Surroundings,Russian Federation,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
430,741,Old Town Lunenburg,Canada,,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
431,970,Wachau Cultural Landscape,Austria,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
432,1134,"Grimeton Radio Station, Varberg",Sweden,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
433,976,Gyeongju Historic Areas,Republic of Korea,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
434,703,"Mountain Resort and its Outlying Temples, Chengde",China,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
435,705,Ancient Building Complex in the Wudang Mountains,China,,,,(i)(ii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
436,786,Palace and Gardens of Schönbrunn,Austria,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
437,1110,Historic Centre of Macao,China,,,,(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
438,31,Auschwitz Birkenau <br /><small>German Nazi Concentration and Extermination Camp (1940-1945)</small>,Poland,,,,(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
439,1541,"Kulangsu, a Historic International Settlement",China,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
440,576,Historic City of Ayutthaya,Thailand,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
441,499,Kairouan,Tunisia,,,,(i)(ii)(iii)(v)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
442,744,San Agustín Archaeological Park,Colombia,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
443,1640,Djerba: Testimony to a settlement pattern in an island territory,Tunisia,,,,(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
444,1349,Seventeenth-Century Canal Ring Area of Amsterdam inside the Singelgracht,Netherlands (Kingdom of the),,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
445,1478,Erzgebirge/Krušnohoří Mining Region,"Czechia,Germany",,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
446,1405,Neolithic Site of Çatalhöyük,Türkiye,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
447,460,Trinidad and the Valley de los Ingenios,Cuba,,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
448,307,Statue of Liberty,United States of America,,,,(i)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1260,Mehmed Paša Sokolović Bridge in Višegrad,Bosnia and Herzegovina,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
450,1544,Historic City of Yazd,Iran (Islamic Republic of),,,,(iii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
451,1567,Funerary and memory sites of the First World War (Western Front),"Belgium,France",,,,(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
452,1568,Sassanid Archaeological Landscape of Fars Region,Iran (Islamic Republic of),,,,(ii)(iii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
453,543,Itchan Kala,Uzbekistan,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
454,1130,Ashur (Qal'at Sherqat),Iraq,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
455,401,Old Village of Hollókő and its Surroundings,Hungary,,,,(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
456,251,Agra Fort,India,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
457,757,Sceilg Mhichíl,Ireland,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
458,1422,Golestan Palace,Iran (Islamic Republic of),,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
459,642,Prambanan Temple Compounds,Indonesia,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
460,495,"Strasbourg, Grande-Île and <em>Neustadt</em>",France,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
461,430,Frontiers of the Roman Empire,"Germany,United Kingdom of Great Britain and Northern Ireland",,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
462,729,"Bauhaus and its Sites in Weimar, Dessau and Bernau",Germany,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
463,780,Archaeological Site of Aigai (modern name Vergina),Greece,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
464,1465,"Champagne Hillsides, Houses and Cellars",France,,,,(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
465,558,Skogskyrkogården,Sweden,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
466,949,My Son Sanctuary,Viet Nam,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
467,425,Blenheim Palace,United Kingdom of Great Britain and Northern Ireland,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
468,1608,Frontiers of the Roman Empire – The Danube Limes (Western Segment),"Austria,Germany,Slovakia",,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
469,204,Old Havana and its Fortification System,Cuba,,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
470,690,Pilgrimage Church of St John of Nepomuk at Zelená Hora,Czechia,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
471,59,Bryggen,Norway,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
472,1622,Arslantepe Mound,Türkiye,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
473,1702,Rachid Karami International Fair-Tripoli,Lebanon,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
474,530,Delos,Greece,,,,(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
475,850,Ouadi Qadisha (the Holy Valley) and the Forest of the Cedars of God (Horsh Arz el-Rab),Lebanon,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
476,1084,"Royal Botanic Gardens, Kew",United Kingdom of Great Britain and Northern Ireland,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
477,784,Historic Centre of the City of Salzburg,Austria,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
478,583,Fortress of Suomenlinna,Finland,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
479,21,Ancient City of Aleppo,Syrian Arab Republic,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
480,393,Archaeological Site of Delphi,Greece,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
481,511,Archaeological Site of Mystras,Greece,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
482,32,Wieliczka and Bochnia Royal Salt Mines,Poland,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
483,697,"Jelling Mounds, Runic Stones and Church",Denmark,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
484,438,The Great Wall,China,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
485,1480,Victorian Gothic and Art Deco Ensembles of Mumbai,India,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
486,813,Classical Gardens of Suzhou,China,,,,(i)(ii)(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
487,778,Lushan National Park,China,,,,(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
488,13,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,Ethiopia,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
489,696,Kronborg Castle,Denmark,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
490,139,Taxila,Pakistan,,,,(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
491,933,The Loire Valley between Sully-sur-Loire and Chalonnes,France,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
492,978,Old Town of Corfu,Greece,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
493,80,Mont-Saint-Michel and its Bay,France,,,,(i)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
494,670,The Sassi and the Park of the Rupestrian Churches of Matera,Italy,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
495,272,Hanseatic City of Lübeck,Germany,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
496,1091,Complex of Koguryo Tombs,Democratic People's Republic of Korea,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
497,285,"Port, Fortresses and Group of Monuments, Cartagena",Colombia,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
498,1273,Wooden Churches of the Slovak part of the Carpathian Mountain Area,Slovakia,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
499,498,Medina of Sousse,Tunisia,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
500,566,Historic City of Sucre,Bolivia (Plurinational State of),,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
501,974,Monastic Island of Reichenau,Germany,,,,(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
502,275,"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)","Argentina,Brazil",,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
503,244,Elephanta Caves,India,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
504,1441,Van Nellefabriek,Netherlands (Kingdom of the),,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
505,119,Timbuktu,Mali,,,,(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
506,318,"Monastery and Site of the Escurial, Madrid",Spain,,,,(i)(ii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
507,15,Aksum,Ethiopia,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
508,805,San Millán Yuso and Suso Monasteries,Spain,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
509,965,Rietveld Schröderhuis (Rietveld Schröder House),Netherlands (Kingdom of the),,,,(i)(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
510,664,Archaeological Ensemble of Mérida,Spain,,,,(iii)(i)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
511,96,Stari Ras and Sopoćani,Serbia,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
512,618,Historic Town of Banská Štiavnica and the Technical Monuments in its Vicinity,Slovakia,,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
513,956,Island of Saint-Louis,Senegal,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
514,948,Hoi An Ancient Town,Viet Nam,,,,(ii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
515,1336,Archaeological Sites of the Island of Meroe,Sudan,,,,(ii)(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
516,384,Old Town of Cáceres,Spain,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
517,65,Antigua Guatemala,Guatemala,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
518,42,Boyana Church,Bulgaria,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
519,950,Royal Hill of Ambohimanga,Madagascar,,,,(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
520,1245,San Marino Historic Centre and Mount Titano,San Marino,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
521,249,Group of Monuments at Mahabalipuram,India,,,,(i)(ii)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
522,1196,"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",Belarus,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
523,250,Great Living Chola Temples,India,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
524,1504,Stećci Medieval Tombstone Graveyards,"Bosnia and Herzegovina,Croatia,Montenegro,Serbia",,,,(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
525,1450,Thimlich Ohinga Archaeological Site,Kenya,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
526,22,Ancient City of Bosra,Syrian Arab Republic,,,,(i)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
527,837,Medina of Tétouan (formerly known as Titawin),Morocco,,,,(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
528,143,"Historical Monuments at Makli, Thatta",Pakistan,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
529,1703,The Historic Centre of Odesa,Ukraine,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
530,849,Archaeological Site of Troy,Türkiye,,,,(ii)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
531,613,Ruins of León Viejo,Nicaragua,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
532,19,"Fasil Ghebbi, Gondar Region",Ethiopia,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
533,140,Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at Sahr-i-Bahlol,Pakistan,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
534,1343,"Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases Areas)",United Arab Emirates,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
535,794,Dougga / Thugga,Tunisia,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
536,190,Archaeological Site of Cyrene,Libya,,,,(ii)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
537,1661,"Modernist Kaunas: Architecture of Optimism, 1919-1939",Lithuania,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
538,599,Island of Mozambique,Mozambique,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
539,37,Archaeological Site of Carthage,Tunisia,,,,(ii)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
540,954,Saint Catherine Area,Egypt,,,,(i)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
541,86,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,Egypt,,,,(i)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
542,753,Medina of Essaouira (formerly Mogador),Morocco,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
543,873,"Provins, Town of Medieval Fairs",France,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
544,445,Brasilia,Brazil,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
545,320,Works of Antoni Gaudí,Spain,,,,(i)(ii)(i)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
546,876,University and Historic Precinct of Alcalá de Henares,Spain,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
547,1155,Old town of Regensburg with Stadtamhof,Germany,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
548,1067,Historic Centres of Stralsund and Wismar,Germany,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
549,895,Historic Fortified Town of Campeche,Mexico,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
550,1099,Mapungubwe Cultural Landscape,South Africa,,,,(ii)(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
551,1468,Moravian Church Settlements,"Denmark,Germany,United Kingdom of Great Britain and Northern Ireland,United States of America",,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
552,973,Bardejov Town Conservation Reserve,Slovakia,,,,(iii)(i)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
553,78,Independence Hall,United States of America,,,,(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
554,164,"Arles, Roman and Romanesque Monuments",France,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
555,1569,The Maison Carrée of Nîmes,France,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
556,229,"Place Stanislas, Place de la Carrière and Place d'Alliance in Nancy",France,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
557,886,State Historical and Cultural Park “Ancient Merv”,Turkmenistan,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
558,557,Rock Carvings in Tanum,Sweden,,,,(i)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
559,560,"Archaeological Zone of Paquimé, Casas Grandes",Mexico,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
560,1595,The Archaeological Ensemble of 17th Century Port Royal,Jamaica,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
561,1269,Sacred City of Caral-Supe,Peru,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
562,113,Tchogha Zanbil,Iran (Islamic Republic of),,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
563,1305,Historic Monuments of Dengfeng in “The Centre of Heaven and Earth”,China,,,,(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
564,1612,The work of engineer Eladio Dieste: Church of Atlántida,Uruguay,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
565,1484,"Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining",Japan,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
566,1675,Silk Roads: Zarafshan-Karakum Corridor,"Tajikistan,Turkmenistan,Uzbekistan",,,,(ii)(iii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
567,1046,Alto Douro Wine Region,Portugal,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
568,595,Pythagoreion and Heraion of Samos,Greece,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
569,1716,Hegmataneh,Iran (Islamic Republic of),,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
570,1178,Humberstone and Santa Laura Saltpeter Works,Chile,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
571,944,Mountain Railways of India,India,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
572,1282,Decorated Farmhouses of Hälsingland,Sweden,,,,(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
573,1387,University of Coimbra – Alta and Sofia,Portugal,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
574,1116,Quebrada de Humahuaca,Argentina,,,,(ii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
575,1008,Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,Cuba,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
576,1502,"Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar",India,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
577,1322,Historic Town of Grand-Bassam,Côte d'Ivoire,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
578,1507,"Phu Phrabat, a testimony to the Sīma stone tradition of the Dvaravati period",Thailand,,,,(iii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
579,310,Cave of Altamira and Paleolithic Cave Art of Northern Spain,Spain,,,,(i)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
580,1298,Stoclet House,Belgium,,,,(i)(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
581,45,Rock-Hewn Churches of Ivanovo,Bulgaria,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
582,1667,Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar,Cambodia,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
583,1680,Jodensavanne Archaeological Site: Jodensavanne Settlement and Cassipora Creek Cemetery,Suriname,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
584,300,Historic District of Old Québec,Canada,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
