Index,Site ID,Site Name,Country,Architecture Type,Construction Period,Civilization,UNESCO Criteria,Major Stone,Secondary Stone,Local Stone Name,Lithology,Geological Age,Formation,Colour,Texture,Minerals,Quarry,Quarry Country,Local vs Imported,Transport Distance,Structural Use,Decorative Use,Masonry Technique,Weathering,Replacement Stone,Restoration,Condition,GHSR,Heritage Stone Candidate,Geoheritage Value,UNESCO Mention,Wikipedia Mention,Research Papers,Confidence Score
72,1031,Historic Centre of Guimarães and Couros Zone,Portugal,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
73,434,"Archaeological Sites of Bat, Al-Khutm and Al-Ayn",Oman,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
74,704,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,China,,,,(i)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
75,456,Paleochristian and Byzantine Monuments of Thessalonika,Greece,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
76,442,Monticello and the University of Virginia in Charlottesville,United States of America,,,,(i)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
77,827,"Cathedral, Torre Civica and Piazza Grande, Modena",Italy,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1549,Historic Centre of Sheki with the Khan’s Palace,Azerbaijan,,,,(ii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
79,828,Historic Centre of Urbino,Italy,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
80,428,City of Bath,United Kingdom of Great Britain and Northern Ireland,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
81,942,The Historic Centre (Chorá) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Pátmos,Greece,,,,(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
82,537,"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios",Greece,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
83,404,"Acropolis, Athens",Greece,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
84,292,Cologne Cathedral,Germany,,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
85,277,Hatra,Iraq,,,,(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
86,374,Castles and Town Walls of King Edward in Gwynedd,United Kingdom of Great Britain and Northern Ireland,,,,(i)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1375,Santiniketan,India,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1361,"Historic Jeddah, the Gate to Makkah",Saudi Arabia,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
89,747,Historic Quarter of the City of Colonia del Sacramento,Uruguay,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
90,450,Sacred City of Kandy,Sri Lanka,,,,(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
91,211,Minaret and Archaeological Remains of Jam,Afghanistan,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1599,Krzemionki Prehistoric Striped Flint Mining Region,Poland,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
93,617,Historic Centre of Český Krumlov,Czechia,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1011,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Armenia,,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1052,Tugendhat Villa in Brno,Czechia,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
96,910,Brimstone Hill Fortress National Park,Saint Kitts and Nevis,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1648,Sudanese style mosques in northern Côte d’Ivoire,Côte d'Ivoire,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
98,379,Historic City of Toledo,Spain,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
99,883,Fuerte de Samaipata,Bolivia (Plurinational State of),,,,(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1501,Antequera Dolmens Site,Spain,,,,(i)(iii)(i)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
101,316,Burgos Cathedral,Spain,,,,(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
102,439,Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,China,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
103,383,"Cathedral, Alcázar and Archivo de Indias in Seville",Spain,,,,(i)(ii)(iii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
104,385,Old City of Sana'a,Yemen,,,,(iv)(v)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
105,323,Royal Palaces of Abomey,Benin,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
106,116,Old Towns of Djenné,Mali,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
107,601,"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims",France,,,,(i)(ii)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
108,660,Buddhist Monuments in the Horyu-ji Area,Japan,,,,(i)(ii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1131,Royal Exhibition Building and Carlton Gardens,Australia,,,,(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
110,411,Pre-Hispanic City and National Park of Palenque,Mexico,,,,(i)(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
111,958,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Azerbaijan,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1487,Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,Italy,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1211,Genoa: <i>Le Strade Nuove</i> and the system of the<i> Palazzi dei Rolli</i>,Italy,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1214,Sewell Mining Town,Chile,,,,(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
115,334,Sanctuary of Bom Jesus do Congonhas,Brazil,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
116,816,Changdeokgung Palace Complex,Republic of Korea,,,,(ii)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
117,400,"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue",Hungary,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1551,Historic City of Ahmadabad,India,,,,(ii)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1135,Capital Cities and Tombs of the Ancient Koguryo Kingdom,China,,,,(i)(ii)(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
120,880,"Summer Palace, an Imperial Garden in Beijing",China,,,,(i)(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
121,517,Archaeological Site of Olympia,Greece,,,,(i)(ii)(iii)(iv)(vi),,,,,,,,,,,,,,,,,,,,,,,,,,,
122,474,Hortobágy National Park - the <i>Puszta</i>,Hungary,,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1053,Wooden Churches of Southern Małopolska,Poland,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
124,584,Petäjävesi Old Church,Finland,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
125,392,Temple of Apollo Epicurius at Bassae,Greece,,,,(i)(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1470,Naumburg Cathedral,Germany,,,,(i)(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,
127,58,Urnes Stave Church,Norway,,,,(i)(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
128,867,Ir.D.F. Woudagemaal (D.F. Wouda Steam Pumping Station),Netherlands (Kingdom of the),,,,(i)(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
129,187,St Mary's Cathedral and St Michael's Church at Hildesheim,Germany,,,,(i)(ii)(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
130,787,The <I>Trulli</I> of Alberobello,Italy,,,,(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
131,444,Ksar of Ait-Ben-Haddou,Morocco,,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
132,732,Kutná Hora: Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,Czechia,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
133,939,Archaeological Monuments Zone of Xochicalco,Mexico,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
134,412,Historic Centre of Mexico City and Xochimilco,Mexico,,,,(ii)(iii)(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
135,90,Abu Mena,Egypt,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1730,Funerary Tradition in the Prehistory of Sardinia – <em>The domus de janas</em>,Italy,,,,(iii),,,,,,,,,,,,,,,,,,,,,,,,,,,
137,699,City of Luxembourg: its Old Quarters and Fortifications,Luxembourg,,,,(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
138,345,Historic Fortified City of Carcassonne,France,,,,(ii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
139,95,Old City of Dubrovnik,Croatia,,,,(i)(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
140,365,Khami Ruins National Monument,Zimbabwe,,,,(iii)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
141,731,Hanseatic Town of Visby,Sweden,,,,(iv)(v),,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1366,Selimiye Mosque and its Social Complex,Türkiye,,,,(i)(iv),,,,,,,,,,,,,,,,,,,,,,,,,,,
